time	V(x)
8,888730091078979e-004	-7,400823e-001
8,908261341078979e-004	-7,011842e-001
8,927792591078979e-004	-6,517396e-001
8,947323841078979e-004	-5,924922e-001
8,966855091078979e-004	-5,243332e-001
8,986386341078979e-004	-4,482878e-001
9,005917591078979e-004	-3,654997e-001
9,025448841078979e-004	-2,772142e-001
9,044980091078979e-004	-1,847591e-001
9,064511341078979e-004	-8,952503e-002
9,084042591078979e-004	7,055567e-003
9,103573841078979e-004	1,035300e-001
9,123105091078979e-004	1,984473e-001
9,142636341078979e-004	2,903798e-001
9,162167591078979e-004	3,779446e-001
9,181698841078979e-004	4,598249e-001
9,201230091078979e-004	5,347890e-001
9,220761341078979e-004	6,017092e-001
9,240292591078979e-004	6,595793e-001
9,259823841078979e-004	7,075287e-001
9,279355091078979e-004	7,448361e-001
9,298886341078979e-004	7,709405e-001
9,318417591078979e-004	7,854493e-001
9,337948841078980e-004	7,881442e-001
9,357480091078980e-004	7,789847e-001
9,377011341078980e-004	7,581085e-001
9,396542591078980e-004	7,258297e-001
9,416073841078980e-004	6,826336e-001
9,435605091078980e-004	6,291702e-001
9,455136341078980e-004	5,662435e-001
9,474667591078980e-004	4,947999e-001
9,494198841078980e-004	4,159141e-001
9,513730091078980e-004	3,307725e-001
9,533261341078980e-004	2,406558e-001
9,552792591078980e-004	1,469194e-001
9,572323841078980e-004	5,097325e-002
9,591855091078980e-004	-4,573962e-002
9,611386341078980e-004	-1,417645e-001
9,630917591078980e-004	-2,356572e-001
9,650448841078980e-004	-3,260053e-001
9,669980091078980e-004	-4,114500e-001
9,689511341078980e-004	-4,907061e-001
9,709042591078980e-004	-5,625815e-001
9,728573841078980e-004	-6,259953e-001
9,748105091078980e-004	-6,799934e-001
9,767636341078980e-004	-7,237638e-001
9,787167591078978e-004	-7,566481e-001
9,806698841078976e-004	-7,781518e-001
9,826230091078973e-004	-7,879512e-001
9,845761341078971e-004	-7,858992e-001
9,865292591078969e-004	-7,720265e-001
9,884823841078967e-004	-7,465419e-001
9,904355091078965e-004	-7,098286e-001
9,923886341078963e-004	-6,624387e-001
9,943417591078961e-004	-6,050851e-001
9,962948841078958e-004	-5,386306e-001
9,982480091078956e-004	-4,640745e-001
9,992245716078955e-004	-4,241837e-001
1,000000000000000e-003	-3,915871e-001
